Lookup ID,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
8-10021667,22032-3136,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012252,78504-6171,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10044935,20152-5975,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10040227,20003-1940,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036720,22015-3746,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032329,20151-2435,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10022889,22030-7209,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022778,22033-1223,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,42,0
8-10035750,22030-2927,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,0,0
8-10032236,22101-2348,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10050180,22180-7065,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10018465,22032-3302,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047241,22124-1643,"",1,200.00,200.00,1/28/2020,200.00,1/28/2020,200.00,1/28/2020,"5,000.00",0,0,0,0,0
8-10052848,20170-5241,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10048949,22182-3750,8-10003638,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10006129,22180-4618,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005099,09513-3144,8-10000325,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003952,22015-2942,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10006265,22030-5335,8-10000493,1,5.00,5.00,12/22/2016,5.00,12/22/2016,5.00,12/22/2016,0.00,35,35,35,42,0
1184,22066-2730,"",1,100.00,100.00,5/7/2013,100.00,5/7/2013,100.00,5/7/2013,0.00,0,0,0,0,0
8-10033831,80023-4567,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030254,22030-6033,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004704,20120-4309,8-10000252,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10014090,20170-3700,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10004884,28273-7006,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042734,27606-1739,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10029048,20148-6773,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10045797,22033-2164,8-10003504,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1544,20148-4179,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022866,21204-3817,8-10002385,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
603,22102-3875,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004610,22153-1423,8-10000227,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10049434,22015-2162,8-10003669,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022205,23175-2542,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038793,09880-0117,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10002397,20171-4063,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047526,20120-1751,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10035065,20169-8190,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10018676,17870-1520,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10042582,22124-2129,8-10003367,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10028110,20152-2595,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10033227,22181-3241,8-10003175,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033569,22304-7704,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018315,22153-1018,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10053179,22031-3206,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10034591,22031-1047,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005857,22033-6027,8-10000437,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052322,22554-9406,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052116,20744-5630,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052882,20176-3870,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011300,32792-2601,8-10001615,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10044540,20111-7235,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048845,27712-2685,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10018482,20120,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10048464,22030-6270,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048370,20124-1832,8-10003628,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10018711,11234-4810,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10050412,22031-2451,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10044298,22003-5527,8-10003443,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053188,20165-3177,"",,"",0.00,"",0.00,"",0.00,"",0.00,90,35,35,42,0
255,22066-2305,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10043840,20147-3842,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10038494,22309-2630,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10007718,20171-4366,8-10000510,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10053268,20854-1455,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036071,22102-1400,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1755,60187-5588,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Novice
8-10052410,20171,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048811,20109-3196,8-10003698,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10029523,22124-1754,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053128,22124-1839,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10017100,22030-8636,8-10002034,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10037253,22182-3428,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10043826,20136-2587,8-10003412,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10016434,22033-1344,8-10001986,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026541,22043-1848,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10007746,22030-7730,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012479,22015-2535,8-10001732,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052655,22303-1417,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10052206,22030-2327,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032083,22201,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,50,0
8-10018006,22042-6613,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019837,06107-2057,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052608,20171-4447,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
737,20147-5307,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10018021,22312-1006,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003514,20171-1917,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10015622,78108-1934,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025518,20136-2080,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10040510,20141-4445,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050665,22030-2319,8-10003736,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10049968,20147-3248,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10035761,22152-1443,8-10003022,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10009026,20878-2035,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047473,20603-5358,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10028281,85613-1122,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012782,19807-1827,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1989,34285-3007,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10026748,15668-9613,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10033942,24551,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10013458,22042-1631,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052235,22033-1615,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10026376,22304-7306,8-10002521,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048565,20171-4222,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049922,22206-1535,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10023086,22033-2144,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10040128,22039-1906,8-10003230,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10004843,22030-7200,8-10000269,0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,50,0
8-10023080,20164-2922,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10018230,22031-1102,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041812,22192-5439,8-10003339,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10000081,20151-3208,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10045716,22150-3927,8-10003501,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10023703,22015-4800,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018778,22043-1433,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012706,22030-6665,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10017268,22124-9349,"",1,50.00,50.00,10/25/2016,50.00,10/25/2016,50.00,10/25/2016,0.00,35,35,35,42,0
8-10027194,20155-5930,8-10002607,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026197,22030-6075,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
929,20190-3824,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10043256,22066,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10022061,20169-6151,8-10002393,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10045866,20120-1117,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10033428,47429-1646,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10028346,22015-4511,8-10003432,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10017072,22066-2838,"",1,500.00,500.00,10/25/2016,500.00,10/25/2016,500.00,10/25/2016,0.00,0,0,0,35,Apprentice
8-10024008,20170-3632,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Novice
8-10027072,20165-3566,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030684,20187-2546,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10008953,78702-2935,"",1,50.00,50.00,11/22/2016,50.00,11/22/2016,50.00,11/22/2016,0.00,0,0,0,35,0
1844,22101-5271,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1976,22101-4025,"",1,100.00,100.00,5/6/2014,100.00,5/6/2014,100.00,5/6/2014,0.00,35,35,35,42,0
8-10044309,20151-2804,8-10003441,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016075,23836-2400,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10013065,20105-2685,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10043354,22306-2533,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10045537,20176-2322,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047212,22003-1403,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10010054,22032-1611,8-10001569,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1949,50112-1412,"",1,20.00,20.00,5/6/2014,20.00,5/6/2014,20.00,5/6/2014,0.00,0,0,0,0,0
8-10012672,22032-1602,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051045,20151-2437,8-10002107,0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,90,35,90,0
8-10022563,22315-6127,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10039998,22015-2318,8-10003223,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
504,20171-3514,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10017645,20165-4785,8-10002071,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042101,22180-4862,8-10002292,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052538,22043-1414,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10041708,20121-2564,8-10003340,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052152,22202-2534,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052580,20170-5241,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10049406,22315-5282,8-10003668,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012363,22101-3239,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10044126,22312-1854,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047451,20171-1931,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
30,22180-4100,"",1,"25,000.00","25,000.00",5/24/2011,"25,000.00",5/24/2011,"25,000.00",5/24/2011,0.00,35,35,35,42,0
8-10018090,20878-3936,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10048662,22204-5237,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,0,0
2070,20175,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10022361,61554-8900,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,0,0
8-10035762,22152-1443,8-10003022,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10024105,43082-8473,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10045593,22033-2566,8-10003498,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10041774,22124-2528,8-10003333,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051933,20171-3382,8-10003811,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052415,20151-3332,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10047509,22193-3273,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042760,20124-2470,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10026481,22033-2410,8-10002528,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013314,20164-6333,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013251,22030-1912,8-10002193,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10028524,22406-4162,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10048784,22015-4742,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10024382,22042-1924,8-10002438,1,25.00,25.00,3/13/2020,25.00,3/13/2020,25.00,3/13/2020,0.00,0,0,0,0,0
8-10036960,20852-5647,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10003962,20148-4905,8-10000095,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10035794,22039-1506,8-10003025,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10052495,22172-2043,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
76,33021-4104,"",1,100.00,100.00,5/24/2011,100.00,5/24/2011,100.00,5/24/2011,0.00,0,0,0,35,0
8-10039648,20152-2526,8-10003199,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
353,20170-5536,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052989,22182-2664,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053055,20191,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10021522,22044-3016,8-10002317,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026861,20171-4060,"",1,150.00,150.00,4/11/2019,150.00,4/11/2019,150.00,4/11/2019,0.00,35,35,35,42,0
8-10032775,20151-3569,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10031621,22039-1316,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10048767,22079-2829,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042787,20190-3401,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049496,21078-4112,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,50,0
8-10053213,20170-5319,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,0
8-10018820,24301-9700,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10028214,22043-1955,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031418,20120-2603,"",1,100.00,100.00,5/1/2018,100.00,5/1/2018,100.00,5/1/2018,0.00,0,0,0,0,0
1770,22066-2000,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1432,22706,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031437,22182-1307,"",1,100.00,100.00,5/1/2018,100.00,5/1/2018,100.00,5/1/2018,0.00,0,0,0,0,0
8-10031887,20171-4119,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032378,20120-3944,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10029741,20016-2607,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10044884,20187-4736,8-10003469,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10013741,22124-1234,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10004357,22101-2643,8-10000200,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10022058,20171,8-10002347,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10041076,22043-2539,8-10003294,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018338,20904-1126,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053363,22153,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048613,20121-1600,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047883,22033-5139,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10021729,22309,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032695,22101-5510,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10032383,20147-4701,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10019014,23117-2925,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030472,22027-1302,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
183,22102-2413,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,42,0
8-10050432,22031-4201,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052634,22201-1446,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10051619,22033-1406,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10037089,22032-2721,8-10003121,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10027646,22031-1131,8-10002657,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10025664,20171-2332,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10032337,20171-3618,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10038503,22181-5312,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10006625,18104-3435,8-10000504,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,50,0
8-10052488,20784-2705,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004171,22310-2225,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10031980,20136-2037,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10049442,22314-4753,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10028785,20191-5856,8-10002726,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013175,10701-7054,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052460,77479-2236,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10029564,22033-2415,8-10002755,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10038648,20105-6109,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
352,20191-4213,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10023087,22033-2144,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003543,20120-1813,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051658,22207-2806,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10049448,22181-5439,8-10003681,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10035707,32779-2626,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,90,50,Apprentice
8-10049808,20121-2375,8-10003687,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10049437,22015-2162,8-10003669,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016549,20854-3448,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033412,20170-3815,8-10002934,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005746,20141-2497,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10018124,97225-4609,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10031029,20151-3640,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10048409,22302-2000,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10051273,22043-1753,8-10003777,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005654,20112-4421,8-10000419,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10042965,22124-1405,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10053063,20124-2057,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10023238,36207-4839,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026312,22305-1731,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047823,20744-2585,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011629,22031-3104,8-10001660,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
2280,22032-1804,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10013366,22315-5035,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048764,22152-2738,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
